ID;NOM_COUV;COMP1;COMP2;COMP3
200055481;CC Beauce Val de Loire;41136;D41;R24
200055655;CA Roissy Pays de France;95585;D95;R11
200055887;CC Mayenne Communauté;53147;D53;R52
200056232;CA Communauté Paris-Saclay;91377;D91;R11
200056380;CA Plaine Vallée;95197;D95;R11
200057859;CA Coeur d'Essonne Agglomération;91549;D91;R11
200057958;CA Paris-Vallée de la Marne;77108;D77;R11
200058360;CC entre Beauce et Perche;28196;D28;R24
200058477;CA Val d'Yerres Val de Seine;91657;D91;R11
200058485;CA Val Parisis;95252;D95;R11
200058519;CA Saint Germain Boucles de Seine;78586;D78;R11
200058782;CA de Saint Quentin en Yvelines;78423;D78;R11
200059228;CA Grand Paris Sud Seine Essonne Sénart;91228;D91;R11
200059392;CC Bièvre Isère;38130;D38;R84
200059400;CC Porte Océane du Limousin;87154;D87;R75
200059871;CC du Centre-Ouest;97617;D976;R97B
200059889;CU Grand Paris Seine et Oise;78361;D78;R11
200060010;CA Mauges Communauté;49301;D49;R52
200060457;CA Dembeni-Mamoudzou;97611;D976;R97B
200060465;CA du Grand Nord de Mayotte;97602;D976;R97B
200060473;CC du Sud;97603;D976;R97B
200065563;CC Normandie-Cabourg-Pays d'Auge;14225;D14;R28
200065589;CC Val ès Dunes;14020;D14;R28
200065597;CU Caen la Mer;14118;D14;R28
200065647;CA Pays de Montbéliard Agglomération;25388;D25;R27
200065787;CC de Pont-Audemer / Val de Risle;27467;D27;R28
200065886;CA Loire Forez Agglomération (LFA);42147;D42;R84
200065894;CC de Forez-Est;42323;D42;R84
200065928;CA Lannion-Trégor Communauté;22113;D22;R53
200066009;CA Mulhouse Alsace Agglomération;68224;D68;R44
200066017;CC Lieuvin Pays d'Auge;27629;D27;R28
200066025;CC Pays Rhin-Brisach;68352;D68;R44
200066033;CC Sud Alsace Largue;68068;D68;R44
200066041;CC Sundgau;68004;D68;R44
200066058;CA Saint-Louis Agglomération;68297;D68;R44
200066108;CC des Portes de Meuse;55010;D55;R44
200066116;CC Argonne-Meuse;55117;D55;R44
200066124;CA Gaillac-Graulhet;81099;D81;R76
200066132;CC du Pays de Stenay et du Val Dunois;55502;D55;R44
200066140;CC de l'Aire à l'Argonne;55123;D55;R44
200066157;CC de Commercy-Void-Vaucouleurs;55122;D55;R44
200066165;CC Val de Meuse-Voie Sacrée;55154;D55;R44
200066173;CC de Damvillers Spincourt;55500;D55;R44
200066223;CC Arize Lèze;9167;D9;R76
200066231;CC des Portes d'Ariège Pyrénées;9225;D9;R76
200066280;CC du Pithiverais;45252;D45;R24
200066322;CC Terres des Confluences;82033;D82;R76
200066330;CC Terres du Haut Berry;18223;D18;R24
200066348;CC du Minervois au Caroux;34284;D34;R76
200066355;CA Sète Agglopôle Méditerranée;34301;D34;R76
200066363;CC de la Haute Ariège;9032;D9;R76
200066371;CC Causses et Vallée de la Dordogne;46128;D46;R76
200066389;CA Saint-Lô Agglo;50502;D50;R28
200066405;CC Roumois Seine;27103;D27;R28
200066413;CC Intercom Bernay Terres de Normandie;27056;D27;R28
200066462;CC Interco Normandie Sud Eure;27679;D27;R28
200066512;CC Elan Limousin Avenir Nature;87002;D87;R75
200066520;CC Ouest Limousin;87111;D87;R75
200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;81124;D81;R76
200066561;CC Sidobre Vals et Plateaux;81227;D81;R76
200066587;CC des Monts du Lyonnais;69227;D69;R84
200066603;CC du Pays de Lubersac-Pompadour;19121;D19;R75
200066637;CC Hautes Terres;15138;D15;R84
200066645;CC Vézère-Monédières-Millesources;19036;D19;R75
200066652;CC Grand Sud Tarn et Garonne;82125;D82;R76
200066660;CC de Saint-Flour;15187;D15;R84
200066678;CC de la Châtaigneraie Cantalienne;15122;D15;R84
200066710;CC Cingal-Suisse Normande;14689;D14;R28
200066728;CC Vallées de l'Orne et de l'Odon;14623;D14;R28
200066744;CC Haute-Corrèze Communauté;19275;D19;R75
200066751;CC Xaintrie Val'Dordogne;19010;D19;R75
200066769;CC Midi Corrézien;19019;D19;R75
200066777;CC Ploërmel Communauté;56165;D56;R53
200066785;CC de l'Oust à Brocéliande;56075;D56;R53
200066793;CA du Grand Annecy;74010;D74;R84
200066801;CC Isigny-Omaha Intercom;14342;D14;R28
200066819;CC du Volvestre;31107;D31;R76
200066827;CC du Pays de Honfleur-Beuzeville;14333;D14;R28
200066835;CC de Sézanne-Sud Ouest Marnais;51535;D51;R44
200066850;CC des Paysages de la Champagne;51217;D51;R44
200066868;CC Presqu'île de Crozon-Aulne maritime;29042;D29;R53
200066876;CA de Châlons-en-Champagne;51108;D51;R44
200066884;CC Quercy Vert-Aveyron;82134;D82;R76
200066892;CC de Vendeuvre-Soulaines;10401;D10;R44
200066918;CA Alès Agglomération;30007;D30;R76
200066926;CA Grand Auch Coeur de Gascogne;32013;D32;R76
200066975;CC Senlis Sud Oise;60612;D60;R32
200067023;CC Coutances Mer et Bocage;50147;D50;R28
200067031;CC Côte Ouest Centre Manche;50236;D50;R28
200067049;CC Spelunca-Liamone;2A065;D2A;R94
200067064;CC Decazeville Communauté;12089;D12;R76
200067072;CC Haut-Léon Communauté;29259;D29;R53
200067080;CC Chablis Villages et Terroirs;89068;D89;R27
200067106;CA du Pays Basque;64102;D64;R75
200067114;CA de l'Auxerrois;89024;D89;R27
200067122;CC Coteaux et Plaines du Pays Lafrançaisain;82087;D82;R76
200067130;CC de Puisaye-Forterre;89086;D89;R27
200067155;CC Saint Affricain, Roquefort, Sept Vallons;12208;D12;R76
200067163;CC Monts, Rance et Rougier;12044;D12;R76
200067171;CC Aubrac, Carladez et Viadène;12223;D12;R76
200067189;CC Creuse Sud Ouest;23030;D23;R75
200067197;CC Monts d'Arrée Communauté;29081;D29;R53
200067205;CA du Cotentin;50129;D50;R28
200067213;CU du Grand Reims;51454;D51;R44
200067239;CC des Luys en Béarn;64519;D64;R75
200067247;CC Pleyben-Châteaulin-Porzay;29026;D29;R53
200067254;CA Pau Béarn Pyrénées;64445;D64;R75
200067262;CC du Haut Béarn;64422;D64;R75
200067288;CC du Béarn des Gaves;64499;D64;R75
200067296;CC du Nord Est Béarn;64405;D64;R75
200067304;CC Serein et Armance;89345;D89;R27
200067320;CC Serre-Ponçon Val d'Avance;5017;D5;R93
200067346;CA Pornic Agglo Pays de Retz;44131;D44;R52
200067361;CC Grand-Figeac;46102;D46;R76
200067379;CC Côtes de Champagne et Val de Saulx;51531;D51;R44
200067429;CC Haut Nivernais-Val d'Yonne;58079;D58;R27
200067437;CA Provence-Alpes-Agglomération;4070;D4;R93
200067445;CC Buëch-Dévoluy;5179;D5;R93
200067452;CC du Guillestrois et du Queyras;5065;D5;R93
200067460;CC Loudéac Communauté-Bretagne Centre;22136;D22;R53
200067478;CC Comtal Lot et Truyère;12096;D12;R76
200067486;CC Bouzonvillois-Trois Frontières;57106;D57;R44
200067502;CA Saint-Avold Synergie;57606;D57;R44
200067544;CC Creuse Confluence;23093;D23;R75
200067551;CA Thonon Agglomération;74281;D74;R84
200067593;CC Marche et Combraille en Aquitaine;23013;D23;R75
200067627;CC Billom Communauté;63040;D63;R84
200067635;CA Clisson Sèvre et Maine Agglo;44043;D44;R52
200067643;CC Meurthe Mortagne Moselle;54076;D54;R44
200067650;CC Houve-Pays Boulageois;57097;D57;R44
200067668;CC de la Cléry, du Betz et de l'Ouanne;45115;D45;R24
200067676;CC Canaux et Forêts en Gâtinais;45187;D45;R24
200067684;CA Epernay, Coteaux et Plaine de Champagne;51230;D51;R44
200067692;CC Tannay-Brinon-Corbigny;58083;D58;R27
200067700;CC Sud Nivernais;58095;D58;R27
200067742;CC Serre-Ponçon;5046;D5;R93
200067759;CC Vallées et Plateau d'Ardenne;8081;D8;R44
200067767;CC du Royans-Vercors;26307;D26;R84
200067783;CC de Hanau-La Petite Pierre;67222;D67;R44
200067791;CA Pays Foix-Varilhes;9122;D9;R76
200067817;CC Saône-Beaujolais;69019;D69;R84
200067825;CA Gap-Tallard-Durance;5061;D5;R93
200067841;CC de l'Alsace Bossue;67434;D67;R44
200067866;CC Sèvre et Loire;44212;D44;R52
200067874;CA de Haguenau;67180;D67;R44
200067882;CC Bazois Loire Morvan;58149;D58;R27
